Date,Open,Max,Min,Close,Volume
2022-09-11,19860.82,21866.62,18551.74,21515.02,4642885.6434604
2022-09-18,21520.12,22739.78,19332.74,19463.51,4882099.2710494
2022-09-25,19458.12,19727.64,18147.05,18744.7,5468463.8032927
2022-10-02,18740.06,20383.33,18473.15,19197.09,6841203.1194836
2022-10-09,19190.97,20462.08,18923.35,19482.2,4430293.4955852
2022-10-16,19483.02,19950.22,18197.17,19148.52,4248509.5100971
2022-10-23,19149.31,19700.92,18650.81,19540.98,3692297.081075
2022-10-30,19542.19,21084.8,19161.3,20591.03,5305040.6784464
2022-11-06,20589.98,21469.73,20045.99,21140.29,4811458.1314711
2022-11-13,21138.38,21152.6,15764.84,16414,5916102.0598196
2022-11-20,16404.27,17163.02,15796.27,16272.45,3164347.242398
2022-11-27,16273.19,16795.02,15473.92,16563.31,3402249.7219805
2022-12-04,16560.91,17241.44,16003.66,17104.56,3392319.1401078
2022-12-11,17105.33,17420.47,16689.86,17104.67,3109719.352833
2022-12-18,17101.4,18377.62,16532.63,16763.8,3492021.04973
2022-12-25,16764.63,17055.04,16265.69,16819.58,2545490.6685424
2023-01-01,16819.81,16963.27,16329.44,16594.55,2221386.3751122
2023-01-08,16594.57,17028.09,16543.4,16961.24,2307309.7467544
2023-01-15,16961.24,21204.61,16961.24,20916.33,4392044.5981357
2023-01-22,20915.2,23374.44,20409.21,22681.54,4538722.5780215
2023-01-29,22678.93,23963.65,22364.18,23767.1,4108570.3590724
2023-02-05,23764.77,24252.3,22501.13,22986.06,3764450.2624453
2023-02-12,22976.08,23446.51,21472.11,21797.04,3239095.5022403
2023-02-19,21796.7,25190.38,21389.27,24496.9,4823085.1021929
2023-02-26,24494.26,25247.79,22800.76,23478.9,3716065.7420868
2023-03-05,23478.68,23908.88,22098.01,22434.82,3453049.0171863
2023-03-12,22428.03,22598.31,19561.78,21915.82,5130530.2669222
2023-03-19,21934.6,28471.98,21829.16,28194.43,7389528.3041447
2023-03-26,28198.04,28872.26,26685.79,27856.57,2934761.3701648
2023-04-02,27856.6,29187.32,26640.3,28032.17,1252142.9996542
2023-04-09,28032.17,28777.52,27350.45,28456.25,814415.67834798
2023-04-16,28456.24,31034.1,28197.15,30406.28,1003891.294962
2023-04-23,30405.98,30496.27,27132.96,27519.21,1148165.1779957
2023-04-30,27519.21,30028.92,27073.49,29427.98,1244665.0262971
2023-05-07,29427.98,29849.22,27666.69,28802.84,950170.61444267
2023-05-14,28807.08,28874.89,25845.92,26922.76,845639.08210173
2023-05-21,26922.76,27682.94,26476.5,26761.21,605761.77455321
2023-05-28,26761.2,27957.95,25926.73,27841.43,638835.248617
2023-06-04,27841.45,28455.38,26510.88,27203.27,604991.18995073
2023-06-11,27203.27,27462.46,25361.74,26057.04,915397.67990424
2023-06-18,26057.05,26798.28,24750.4,26409.26,619123.81148
2023-06-25,26402.18,31410.08,26250.6,30461.25,903956.31149
2023-07-02,30461.26,31272.92,29494.1,30560.19,666398.52455
2023-07-09,30562.71,31491.9,29703.49,30159.34,561608.97591792
2023-07-16,30159.34,31818.76,29915.55,30306.59,552944.00903029
2023-07-23,30306.59,30417.15,29518.17,29943.98,432925.02929684
2023-07-30,29954.65,30098.08,28862.52,29211.24,356184.34403904
2023-08-06,29211.23,30027.97,28562.84,29042.95,445213.47721286
2023-08-13,29044.35,30221.01,28514.01,29344.01,425067.94278071
2023-08-20,29344.01,29661.16,25156.32,26175.54,744186.27616983
