Date;Open;High;Low;Close;Volume
04.03.2013;714.0;714.0;674.75;690.0;4750
11.03.2013;687.25;725.0;687.25;723.0;113605
18.03.2013;720.75;736.75;705.5;729.75;220462
25.03.2013;729.75;741.75;682.75;687.75;227134
01.04.2013;681.5;705.5;659.75;699.0;385963
08.04.2013;700.0;716.0;688.0;714.75;308649
15.04.2013;715.0;715.5;688.5;709.0;192663
22.04.2013;707.5;707.5;685.5;688.75;130016
29.04.2013;688.75;727.5;688.75;711.25;36761
06.05.2013;701.0;719.0;690.0;696.75;2242
13.05.2013;699.75;711.25;680.25;683.25;198086
20.05.2013;681.25;709.0;674.0;697.5;237271
27.05.2013;699.0;707.5;687.5;705.5;221350
03.06.2013;708.5;714.5;692.5;696.25;288951
10.06.2013;693.0;699.75;675.0;680.75;327448
17.06.2013;679.5;710.75;674.5;698.0;289362
24.06.2013;694.0;695.0;646.75;648.5;143620
01.07.2013;646.0;665.0;643.75;656.0;5654
08.07.2013;656.75;688.0;656.75;675.5;41201
15.07.2013;678.75;681.5;656.5;664.5;191825
22.07.2013;667.25;667.75;648.0;650.25;185638
29.07.2013;650.25;667.5;648.25;660.5;273144
05.08.2013;659.75;665.5;630.5;633.5;311862
12.08.2013;633.5;645.25;623.0;631.0;261176
19.08.2013;637.0;646.75;628.5;634.5;149438
26.08.2013;640.0;665.0;639.25;643.25;91031
02.09.2013;652.25;654.0;625.0;635.0;3078
09.09.2013;631.0;645.0;625.0;627.75;42852
16.09.2013;640.0;662.5;638.5;646.25;229728
23.09.2013;645.5;685.5;645.5;683.0;283457
30.09.2013;681.25;698.0;672.5;687.0;319282
07.10.2013;687.25;699.75;682.25;692.25;215627
14.10.2013;691.25;706.5;678.25;705.75;237825
21.10.2013;706.5;711.25;690.25;690.75;220631
28.10.2013;690.0;691.25;664.5;667.75;284878
04.11.2013;665.75;671.5;644.0;649.75;306918
11.11.2013;651.0;659.5;642.75;644.5;360266
18.11.2013;646.75;654.75;642.0;649.5;258663
25.11.2013;650.25;657.0;646.0;655.0;94614
02.12.2013;655.0;661.25;637.0;637.25;6347
09.12.2013;639.75;640.25;618.25;618.25;42015
16.12.2013;628.75;628.75;607.25;613.5;241078
23.12.2013;614.25;615.25;600.75;609.0;71448
30.12.2013;607.5;609.25;595.5;605.75;139813
06.01.2014;608.0;612.75;560.5;569.0;318410
13.01.2014;571.5;580.0;562.75;563.5;215708
20.01.2014;566.0;578.0;560.75;565.25;155506
27.01.2014;567.0;572.25;550.25;555.75;280657
03.02.2014;555.0;592.75;554.0;577.5;376749
10.02.2014;574.5;603.0;570.5;598.5;398488
17.02.2014;599.5;620.75;598.75;609.75;231936
24.02.2014;604.0;620.5;581.5;599.0;94486
03.03.2014;610.0;655.0;608.25;646.25;2286
10.03.2014;646.75;700.75;643.0;690.25;64269
17.03.2014;687.0;723.5;671.75;693.25;331977
24.03.2014;691.75;718.25;687.0;695.5;267946
31.03.2014;698.25;702.0;658.75;669.75;306241
07.04.2014;670.25;688.0;656.25;660.25;357584
14.04.2014;666.25;711.0;664.5;691.25;237389
21.04.2014;690.5;701.75;662.5;700.25;181328
28.04.2014;700.0;716.0;689.5;707.75;60403
05.05.2014;717.0;735.0;714.0;714.0;3235
12.05.2014;695.5;705.5;670.5;674.25;171988
19.05.2014;671.5;686.0;651.25;652.5;329168
26.05.2014;645.0;648.5;625.5;627.25;196348
02.06.2014;624.75;626.75;603.0;618.25;282336
09.06.2014;618.25;626.25;583.5;586.0;341053
16.06.2014;586.0;598.0;576.75;585.25;235229
23.06.2014;585.0;593.0;567.75;585.25;109846
30.06.2014;583.5;584.25;555.5;568.0;8800
07.07.2014;567.25;567.25;514.75;514.75;792
14.07.2014;516.25;561.75;516.25;532.25;256045
21.07.2014;530.5;542.25;520.25;538.0;203554
28.07.2014;538.0;544.0;518.5;534.25;257983
04.08.2014;534.75;572.0;534.25;549.25;345262
11.08.2014;548.5;556.5;527.25;551.25;360752
18.08.2014;549.75;562.5;534.25;552.0;179178
25.08.2014;551.0;564.5;531.25;550.25;66348
01.09.2014;550.25;552.5;519.5;531.5;6583
08.09.2014;528.75;538.0;497.0;498.25;40605
15.09.2014;501.5;508.5;473.75;474.5;200181
22.09.2014;476.25;484.5;466.25;474.25;243689
29.09.2014;470.75;489.75;468.0;485.75;242115
06.10.2014;485.5;511.75;484.75;498.5;283645
13.10.2014;498.5;522.25;495.5;516.0;221812
20.10.2014;515.0;539.25;507.25;517.75;247166
27.10.2014;516.0;545.5;510.5;532.5;254860
03.11.2014;536.25;539.25;511.0;514.5;261305
10.11.2014;514.0;564.75;511.25;560.5;496281
17.11.2014;559.25;563.25;532.0;547.25;180209
24.11.2014;546.0;579.25;539.25;577.25;71956
01.12.2014;577.5;612.0;571.75;609.0;4879
08.12.2014;603.5;627.5;588.5;627.5;72521
15.12.2014;605.5;677.0;599.75;632.25;433123
22.12.2014;629.5;644.5;606.25;610.75;144437
29.12.2014;611.75;620.75;574.75;581.25;140206
05.01.2015;579.75;603.5;561.75;563.75;247960
12.01.2015;563.0;567.0;528.0;532.75;316595
19.01.2015;532.25;544.5;523.0;530.0;215690
26.01.2015;530.75;534.75;497.0;502.75;315977
02.02.2015;503.0;534.0;492.25;527.0;363426
09.02.2015;527.0;534.25;515.75;533.0;439091
16.02.2015;534.5;548.0;509.5;510.25;231216
23.02.2015;510.75;523.0;491.25;517.5;79405
02.03.2015;517.25;521.25;481.0;485.75;6489
09.03.2015;491.25;520.25;489.0;508.75;57441
16.03.2015;503.25;530.5;493.0;530.0;281877
